Year,PV,Wind,Hydro
2026,1.0748364561074355,1.9248447204968944,2.312
2027,1.049640453247621,1.9497792494481234,2.304666666666667
2028,1.0366047122241282,2.0454545454545454,2.3033333333333332
2029,1.0239149970729151,2.055360281195079,2.291333333333333
2030,1.0461631303529206,2.14618320610687,2.283333333333333
2031,1.075237806795432,2.145173176123803,2.2793333333333337
2032,1.1034870875911276,2.223608768971332,2.2786666666666666
2033,1.1282509342694385,2.2593214645616393,2.271333333333333
2034,1.1614967642426524,2.2953402614817295,2.268666666666667
2035,1.1929076742756173,2.3307666555071984,2.2646666666666664
2036,1.2061843846519769,2.3698396451722963,2.266
2037,1.2093907849675514,2.39407509472959,2.253333333333333
2038,1.2133167117342623,2.397623089983022,2.240666666666667
2039,1.21293752640545,2.404104979811575,2.2246666666666663
2040,1.2584699828671226,2.421734795613161,2.217333333333334
